graph,city,seed,stage_index,baseline_stage_index,chi_chord,chi_added,pc,baseline_pc,pc_shift,difference_low,difference_high,contains_zero,distribution,quantile_low,quantile_high,quantile_method,baseline_n_orders,stage_n_orders,baseline_n_bootstrap,stage_n_bootstrap,product_combinations,baseline_estimator_seed,stage_estimator_seed,baseline_canonical_curves_file,stage_canonical_curves_file,baseline_canonical_curves_sha256,stage_canonical_curves_sha256,source_summary_sha256,calibration_q_used
bengaluru_india,Bengaluru,133,2,0,0.06652123306223143,0.05190954810655696,0.6725,0.6825,-0.010000000000000009,-0.03749999999999998,0.012500000000000067,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,140,2168,analysis/canonical_length_control_clean/canonical_curves/bengaluru_india__seed133/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/bengaluru_india__seed133/stage_2.npz,7e96640ddecd81277adbbc87dfe86e9f3f56ddc48b77743a9a768752f616f87c,c119094f8aee97d61913fabfb1344041938fd672805705030cb5071915810bf4,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
bengaluru_india,Bengaluru,133,3,0,0.10780143920704523,0.09318975425137076,0.6725,0.6825,-0.010000000000000009,-0.04249999999999998,0.0,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,140,3177,analysis/canonical_length_control_clean/canonical_curves/bengaluru_india__seed133/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/bengaluru_india__seed133/stage_3.npz,7e96640ddecd81277adbbc87dfe86e9f3f56ddc48b77743a9a768752f616f87c,ac8f20b17562f3bba9a5adb6f444055f328ca88805a0c8fc3ca2eb8fe4992f27,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
osaka_japan,Osaka,211,0,0,0.03827240608551446,0.0,0.62,0.62,0.0,0.0,0.0,True,baseline_identity,0.025,0.975,linear,512,512,1000,1000,0,218,218,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed211/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed211/stage_0.npz,ad2696fcc6d479e4e668a07bbace3c38a5892b0bb749faf8df5a97b3c689b639,ad2696fcc6d479e4e668a07bbace3c38a5892b0bb749faf8df5a97b3c689b639,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
osaka_japan,Osaka,211,1,0,0.05872809863724854,0.02045569255173408,0.6175,0.62,-0.0024999999999999467,-0.015000000000000013,0.0025000000000000577,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,218,1237,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed211/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed211/stage_1.npz,ad2696fcc6d479e4e668a07bbace3c38a5892b0bb749faf8df5a97b3c689b639,0b7382f0bfbcd06b1540561cf4492356acdf6372dce648fcf751de0e4461de4b,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
osaka_japan,Osaka,211,2,0,0.09090056961568967,0.05262816353017521,0.615,0.62,-0.0050000000000000044,-0.012499999999999956,0.0,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,218,2246,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed211/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed211/stage_2.npz,ad2696fcc6d479e4e668a07bbace3c38a5892b0bb749faf8df5a97b3c689b639,2a3da6a62745c4c312d56914c638da4b09db44f570d71b1b3cadba6e6149e9c2,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
osaka_japan,Osaka,211,3,0,0.11765808637969573,0.07938568029418128,0.605,0.62,-0.015000000000000013,-0.020000000000000018,0.0,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,218,3255,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed211/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed211/stage_3.npz,ad2696fcc6d479e4e668a07bbace3c38a5892b0bb749faf8df5a97b3c689b639,85236b08f59c1ac0e57054318a68754a7d25732f98c57d7e2c2d0d4c1ee3eeda,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
osaka_japan,Osaka,222,0,0,0.03827240608551446,0.0,0.6275000000000001,0.6275000000000001,0.0,0.0,0.0,True,baseline_identity,0.025,0.975,linear,512,512,1000,1000,0,229,229,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed222/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed222/stage_0.npz,afc751161a0398c8a5cb556d8e57835208f943e691cec97ea4bef7983aadc16b,afc751161a0398c8a5cb556d8e57835208f943e691cec97ea4bef7983aadc16b,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
osaka_japan,Osaka,222,1,0,0.058807412214290866,0.020535006128776408,0.6175,0.6275000000000001,-0.010000000000000009,-0.012500000000000067,0.007500000000000062,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,229,1248,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed222/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed222/stage_1.npz,afc751161a0398c8a5cb556d8e57835208f943e691cec97ea4bef7983aadc16b,df0b088e118884d67214d0092d5fd60b59d09192a0273b8e975880da862b800b,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
osaka_japan,Osaka,222,2,0,0.09041747782825005,0.05214507174273559,0.61,0.6275000000000001,-0.01750000000000007,-0.01750000000000007,0.0024999999999999467,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,229,2257,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed222/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed222/stage_2.npz,afc751161a0398c8a5cb556d8e57835208f943e691cec97ea4bef7983aadc16b,50547f13056d45f13acb3bd22a54f1b8dae25fe79b7a48e83accb59b3e635d81,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
osaka_japan,Osaka,222,3,0,0.11857379767827529,0.08030139159276084,0.61,0.6275000000000001,-0.01750000000000007,-0.020000000000000018,0.0,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,229,3266,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed222/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed222/stage_3.npz,afc751161a0398c8a5cb556d8e57835208f943e691cec97ea4bef7983aadc16b,299fcb3792df817bfaf49f04d54d5932d021a617694bd767886836194cda4069,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
osaka_japan,Osaka,233,0,0,0.03827240608551446,0.0,0.625,0.625,0.0,0.0,0.0,True,baseline_identity,0.025,0.975,linear,512,512,1000,1000,0,240,240,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed233/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed233/stage_0.npz,4bf2eed800e6ef9c82f17310ce69c7c93631621ab71523e228366b76929d7ddd,4bf2eed800e6ef9c82f17310ce69c7c93631621ab71523e228366b76929d7ddd,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
osaka_japan,Osaka,233,1,0,0.058699257336505876,0.020426851250991418,0.6175,0.625,-0.007499999999999951,-0.007499999999999951,0.007500000000000062,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,240,1259,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed233/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed233/stage_1.npz,4bf2eed800e6ef9c82f17310ce69c7c93631621ab71523e228366b76929d7ddd,143867017945b72b08d90e31a4cd6f4419bc56b807768bf985c1ec09bdeca4c2,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
osaka_japan,Osaka,233,2,0,0.09074194246160502,0.052469536376090566,0.6175,0.625,-0.007499999999999951,-0.015000000000000013,0.0025000000000000577,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,240,2268,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed233/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed233/stage_2.npz,4bf2eed800e6ef9c82f17310ce69c7c93631621ab71523e228366b76929d7ddd,6ee271fb5547edb16ce1a524f8702aab00d84603173a30aba09953cdd4ab129d,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
osaka_japan,Osaka,233,3,0,0.11923714759535656,0.08096474150984209,0.6125,0.625,-0.012499999999999956,-0.012499999999999956,0.0025000000000000577,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,240,3277,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed233/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/osaka_japan__seed233/stage_3.npz,4bf2eed800e6ef9c82f17310ce69c7c93631621ab71523e228366b76929d7ddd,04ab95045091ddcba9a1d4f8cdb119e29d649df71a02d5c02001daee14afe330,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
tehran_iran,Tehran,311,0,0,0.037329803678369446,0.0,0.7075,0.7075,0.0,0.0,0.0,True,baseline_identity,0.025,0.975,linear,512,512,1000,1000,0,318,318,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed311/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed311/stage_0.npz,e056aca69d6d02f915e02b591cbce2f4cbccb4c86ec5d0158d8e4c7e7a67e960,e056aca69d6d02f915e02b591cbce2f4cbccb4c86ec5d0158d8e4c7e7a67e960,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
tehran_iran,Tehran,311,1,0,0.05773022205355573,0.02040041837518628,0.705,0.7075,-0.0025000000000000577,-0.012500000000000067,0.007499999999999951,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,318,1337,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed311/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed311/stage_1.npz,e056aca69d6d02f915e02b591cbce2f4cbccb4c86ec5d0158d8e4c7e7a67e960,7390d21f8cc92c9c43b83b0e3128cfd4d8e7d4e6ad833e7118d72e2de13eab8a,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
tehran_iran,Tehran,311,2,0,0.08948786064033618,0.05215805696196673,0.7125,0.7075,0.0050000000000000044,-0.012499999999999956,0.012499999999999956,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,318,2346,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed311/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed311/stage_2.npz,e056aca69d6d02f915e02b591cbce2f4cbccb4c86ec5d0158d8e4c7e7a67e960,d4fa75d0690efb2c5d337c0ccceac3e4571228270e87ba88b503339362a65a1e,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
tehran_iran,Tehran,311,3,0,0.14287697733184002,0.10554717365347058,0.6975,0.7075,-0.010000000000000009,-0.020000000000000018,0.0,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,318,3355,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed311/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed311/stage_3.npz,e056aca69d6d02f915e02b591cbce2f4cbccb4c86ec5d0158d8e4c7e7a67e960,97648a190ee29e5961e2bf7fae636d08ecd4771a3e88495ea6cc036d96ed106f,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
tehran_iran,Tehran,322,0,0,0.037329803678369446,0.0,0.7025,0.7025,0.0,0.0,0.0,True,baseline_identity,0.025,0.975,linear,512,512,1000,1000,0,329,329,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed322/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed322/stage_0.npz,3cb702a3dd929c9497ed43b3b690bba3b9121d7651c99cf04eb3b53cbfd468c4,3cb702a3dd929c9497ed43b3b690bba3b9121d7651c99cf04eb3b53cbfd468c4,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
tehran_iran,Tehran,322,1,0,0.05771170987717171,0.020381906198802265,0.705,0.7025,0.0024999999999999467,-0.012499999999999956,0.012499999999999956,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,329,1348,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed322/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed322/stage_1.npz,3cb702a3dd929c9497ed43b3b690bba3b9121d7651c99cf04eb3b53cbfd468c4,e112faa56ea56d6081a43165190cc43b7060fe6fe0bdcd673a033253474027ad,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
tehran_iran,Tehran,322,2,0,0.08953414108129622,0.05220433740292677,0.6975,0.7025,-0.0050000000000000044,-0.015000000000000013,0.0,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,329,2357,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed322/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed322/stage_2.npz,3cb702a3dd929c9497ed43b3b690bba3b9121d7651c99cf04eb3b53cbfd468c4,5937be55e93ad6ab22bee2929358c281361dce87878ece639a258577f47a794a,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
tehran_iran,Tehran,322,3,0,0.14057221137202996,0.10324240769366053,0.6950000000000001,0.7025,-0.007499999999999951,-0.01749999999999996,0.0024999999999999467,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,329,3366,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed322/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed322/stage_3.npz,3cb702a3dd929c9497ed43b3b690bba3b9121d7651c99cf04eb3b53cbfd468c4,cc611a5e96a8bf6db379f60b74c85d7778efbffd0cb4ca8ed615d1a2f5af7ceb,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
tehran_iran,Tehran,333,0,0,0.037329803678369446,0.0,0.705,0.705,0.0,0.0,0.0,True,baseline_identity,0.025,0.975,linear,512,512,1000,1000,0,340,340,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed333/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed333/stage_0.npz,cf294c1bec2c5a3d699ce56795891ce3c9cf64b89792cf585aa379e383e4937e,cf294c1bec2c5a3d699ce56795891ce3c9cf64b89792cf585aa379e383e4937e,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
tehran_iran,Tehran,333,1,0,0.05772096596536372,0.020391162286994273,0.705,0.705,0.0,-0.012499999999999956,0.010000000000000009,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,340,1359,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed333/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed333/stage_1.npz,cf294c1bec2c5a3d699ce56795891ce3c9cf64b89792cf585aa379e383e4937e,36a827d199b1e9024192671ba47c361e986390b867bec975f408bf781c1dbeac,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
tehran_iran,Tehran,333,2,0,0.08934901931745606,0.05201921563908662,0.705,0.705,0.0,-0.01749999999999996,0.015000000000000013,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,340,2368,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed333/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed333/stage_2.npz,cf294c1bec2c5a3d699ce56795891ce3c9cf64b89792cf585aa379e383e4937e,1c3af95dbd6f89698ae0cc6bf342ec53f9c229d42b5b483e2ee7ad9240abd550,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
tehran_iran,Tehran,333,3,0,0.14224756333478344,0.104917759656414,0.7025,0.705,-0.0024999999999999467,-0.01749999999999996,0.0050000000000000044,True,empirical_independent_stage_product,0.025,0.975,linear,512,512,1000,1000,1000000,340,3377,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed333/stage_0.npz,analysis/canonical_length_control_clean/canonical_curves/tehran_iran__seed333/stage_3.npz,cf294c1bec2c5a3d699ce56795891ce3c9cf64b89792cf585aa379e383e4937e,eeeca9a610ba500700a1ed3c0ac81284e9e2de4d4d47befaac07adee0c76c21e,d1a92d57c35b979b0b2c44a09aedad33633baf6ade4381ded51f9aa5f9218454,False
